,Squad,Comp,Player,Pos,Age,Min_Playing,Gls,Ast,G+A,xG_Expected,npxG_Expected,xAG_Expected,TklW_Tackles,Sh_Blocks,Int,Clr,Recov,xG_Expected_norm,xAG_Expected_norm,G+A_norm,TklW_Tackles_norm,Sh_Blocks_norm,Int_norm,Clr_norm,Recov_norm,Min_Playing_norm,Score,Rank
1521,Liverpool,Premier League,Andrew Robertson,DF,30.0,2482.0,0,1,1,1.2,1.2,4.6,22,4,21,54,105,0.047619047619047616,0.323943661971831,0.02127659574468085,0.275,0.07017543859649122,0.3181818181818182,0.21686746987951808,0.4585152838427948,0.7256507750804329,0.1865493051080694,137.0
440,Brentford,Premier League,Sepp van den Berg,DF,22.0,2586.0,0,0,0,2.0,2.0,0.8,24,38,21,134,97,0.07936507936507936,0.05633802816901409,0.0,0.3,0.6666666666666666,0.3181818181818182,0.5381526104417671,0.42358078602620086,0.7560690260310032,0.18520967481069942,138.0
518,Brighton,Premier League,Georginio Rutter,"MF,FW",22.0,1656.0,5,3,8,4.6,4.6,2.5,15,3,10,13,66,0.18253968253968253,0.17605633802816903,0.1702127659574468,0.1875,0.05263157894736842,0.15151515151515152,0.05220883534136546,0.28820960698689957,0.48405966656917226,0.18482196752702576,139.0
665,Crystal Palace,Premier League,Will Hughes,MF,29.0,2108.0,0,3,3,1.1,1.1,3.1,36,14,22,28,121,0.043650793650793655,0.2183098591549296,0.06382978723404255,0.45,0.24561403508771928,0.3333333333333333,0.11244979919678715,0.5283842794759825,0.6162620649312665,0.183825342974287,140.0
881,Fulham,Premier League,Joachim Andersen,DF,28.0,2583.0,0,0,0,1.0,1.0,0.5,18,28,34,188,122,0.03968253968253968,0.035211267605633804,0.0,0.225,0.49122807017543857,0.5151515151515151,0.7550200803212851,0.5327510917030568,0.7551915764843522,0.18266413211767107,141.0
900,Fulham,Premier League,Emile Smith Rowe,MF,24.0,2043.0,6,3,9,4.5,4.5,1.4,18,2,11,16,75,0.17857142857142858,0.09859154929577464,0.19148936170212766,0.225,0.03508771929824561,0.16666666666666666,0.0642570281124498,0.32751091703056767,0.5972506580871599,0.18237626023076356,142.0
1404,Leicester City,Premier League,Bilal El Khannouss,"MF,FW",20.0,2182.0,2,3,5,1.3,1.3,4.6,30,4,6,10,92,0.05158730158730159,0.323943661971831,0.10638297872340426,0.375,0.07017543859649122,0.09090909090909091,0.040160642570281124,0.4017467248908297,0.6379058204153261,0.18233640448433847,143.0
1630,Manchester City,Premier League,Matheus Nunes,"DF,MF",25.0,1674.0,1,6,7,1.2,1.2,4.4,22,4,15,38,70,0.047619047619047616,0.3098591549295775,0.14893617021276595,0.275,0.07017543859649122,0.22727272727272727,0.15261044176706828,0.3056768558951965,0.4893243638490787,0.18204777068321107,144.0
669,Crystal Palace,Premier League,Jefferson Lerma,"MF,DF",29.0,2274.0,0,1,1,1.1,1.1,1.6,17,18,42,80,154,0.043650793650793655,0.11267605633802819,0.02127659574468085,0.2125,0.3157894736842105,0.6363636363636364,0.321285140562249,0.6724890829694323,0.6648142731792922,0.18104784884972094,145.0
2837,Wolves,Premier League,Toti Gomes,DF,25.0,2614.0,0,1,1,0.7,0.7,0.9,43,17,25,152,116,0.027777777777777776,0.06338028169014084,0.02127659574468085,0.5375,0.2982456140350877,0.3787878787878788,0.6104417670682731,0.5065502183406113,0.7642585551330798,0.18005391048854422,146.0
893,Fulham,Premier League,Saša Lukić,MF,27.0,2344.0,0,2,2,1.2,1.2,2.7,39,7,28,35,109,0.047619047619047616,0.19014084507042256,0.0425531914893617,0.4875,0.12280701754385964,0.42424242424242425,0.14056224899598393,0.4759825327510917,0.6852880959344838,0.1776436375710633,147.0
1390,Leicester City,Premier League,Victor Bernth Kristiansen,DF,21.0,2482.0,0,1,1,0.3,0.3,1.4,51,15,42,75,99,0.011904761904761904,0.09859154929577464,0.02127659574468085,0.6375,0.2631578947368421,0.6363636363636364,0.30120481927710846,0.43231441048034935,0.7256507750804329,0.17735463437643814,148.0
798,Everton,Premier League,Jarrad Branthwaite,DF,22.0,2511.0,0,1,1,1.2,1.2,0.7,20,23,27,191,93,0.047619047619047616,0.04929577464788732,0.02127659574468085,0.25,0.40350877192982454,0.4090909090909091,0.7670682730923695,0.40611353711790393,0.7341327873647265,0.17689590229401458,149.0
2825,Wolves,Premier League,Jean-Ricner Bellegarde,"MF,FW",26.0,1676.9999999999998,2,7,9,1.5,1.5,3.8,24,3,10,18,62,0.05952380952380953,0.2676056338028169,0.19148936170212766,0.3,0.05263157894736842,0.15151515151515152,0.07228915662650602,0.27074235807860264,0.49020181339572966,0.1765451448862997,150.0
813,Everton,Premier League,Dwight McNeil,"MF,FW",24.0,1371.0,4,6,10,1.1,1.1,5.2,8,0,6,2,76,0.043650793650793655,0.36619718309859156,0.2127659574468085,0.1,0.0,0.09090909090909091,0.008032128514056224,0.3318777292576419,0.40070195963732086,0.1754639116202236,151.0
1615,Manchester City,Premier League,Jeremy Doku,"FW,MF",22.0,1516.0,3,6,9,1.3,1.3,4.8,22,1,4,2,63,0.05158730158730159,0.3380281690140845,0.19148936170212766,0.275,0.017543859649122806,0.06060606060606061,0.008032128514056224,0.27510917030567683,0.4431120210587891,0.17534985862611818,152.0
1517,Liverpool,Premier League,Ibrahima Konaté,DF,25.0,2560.0,1,2,3,1.7,1.7,1.0,26,15,17,133,98,0.06746031746031746,0.07042253521126761,0.06382978723404255,0.325,0.2631578947368421,0.25757575757575757,0.5341365461847389,0.4279475982532751,0.7484644632933606,0.17490267272935597,153.0
66,Arsenal,Premier League,Gabriel Magalhães,DF,26.0,2363.0,3,1,4,2.6,2.6,0.9,15,29,16,93,63,0.10317460317460318,0.06338028169014084,0.0851063829787234,0.1875,0.5087719298245614,0.24242424242424243,0.37349397590361444,0.27510917030567683,0.6908452763966072,0.1745569436288889,154.0
807,Everton,Premier League,Jack Harrison,FW,27.0,2076.0,1,0,1,3.5,3.5,3.7,22,2,10,35,73,0.1388888888888889,0.2605633802816902,0.02127659574468085,0.275,0.03508771929824561,0.15151515151515152,0.14056224899598393,0.31877729257641924,0.6069026031003217,0.174426912646247,155.0
882,Fulham,Premier League,Calvin Bassey,DF,24.0,3074.0,1,0,1,1.0,1.0,0.1,34,17,20,118,168,0.03968253968253968,0.007042253521126762,0.02127659574468085,0.425,0.2982456140350877,0.30303030303030304,0.4738955823293173,0.7336244541484717,0.8988008189529102,0.17419837038272792,156.0
495,Brighton,Premier League,Yasin Ayari,MF,20.0,1965.0,2,1,3,2.4,2.4,2.3,32,6,20,26,118,0.09523809523809523,0.1619718309859155,0.06382978723404255,0.4,0.10526315789473684,0.30303030303030304,0.10441767068273092,0.5152838427947598,0.5744369698742322,0.17385334942925834,157.0
2340,Southampton,Premier League,Joe Aribo,"MF,DF",28.0,2013.0,3,0,3,2.7,2.7,1.6,33,11,20,32,112,0.10714285714285715,0.11267605633802819,0.06382978723404255,0.4125,0.19298245614035087,0.30303030303030304,0.1285140562248996,0.4890829694323144,0.5884761626206493,0.17317332322969717,158.0
1196,Ipswich Town,Premier League,Sam Morsy,MF,32.0,2751.0,1,1,2,0.4,0.4,1.2,41,13,29,47,157,0.015873015873015876,0.08450704225352113,0.0425531914893617,0.5125,0.22807017543859648,0.4393939393939394,0.18875502008032127,0.6855895196506551,0.8043287510968119,0.17310582179349754,159.0
408,Bournemouth,Premier League,Tyler Adams,MF,25.0,1965.0,0,3,3,1.6,1.6,1.0,50,10,32,42,114,0.0634920634920635,0.07042253521126761,0.06382978723404255,0.625,0.17543859649122806,0.48484848484848486,0.1686746987951807,0.4978165938864629,0.5744369698742322,0.17220885073146053,160.0
1627,Manchester City,Premier League,Omar Marmoush,"FW,MF",25.0,1175.0,7,0,7,5.5,5.5,2.8,8,1,6,3,37,0.21825396825396826,0.19718309859154928,0.14893617021276595,0.1,0.017543859649122806,0.09090909090909091,0.012048192771084338,0.1615720524017467,0.34337525592278445,0.17097246681974498,161.0
1957,Nott'ham Forest,Premier League,Callum Hudson-Odoi,"FW,MF",23.0,2194.0,5,2,7,2.5,2.5,2.7,14,0,13,12,92,0.09920634920634921,0.19014084507042256,0.14893617021276595,0.175,0.0,0.19696969696969696,0.04819277108433735,0.4017467248908297,0.6414156186019304,0.1707435483958822,162.0
2824,Wolves,Premier League,André,MF,23.0,2472.0,0,0,0,0.4,0.4,0.8,55,8,37,30,194,0.015873015873015876,0.05633802816901409,0.0,0.6875,0.14035087719298245,0.5606060606060606,0.12048192771084337,0.8471615720524017,0.7227259432582627,0.16997082943673514,163.0
